time,y
2000-01-04 00:00:00,11.83333333
2000-01-05 00:00:00,11.95652174
2000-01-06 00:00:00,10.5
2000-01-07 00:00:00,10.52631579
2000-01-11 00:00:00,9.047619048
2000-01-12 00:00:00,9.545454545
2000-01-13 00:00:00,9.117647059
2000-01-14 00:00:00,8.2
2000-01-17 00:00:00,8.2
2000-01-18 00:00:00,7.857142857
2000-01-19 00:00:00,6.923076923
2000-01-20 00:00:00,6.4
2000-01-21 00:00:00,6.458333333
2000-01-24 00:00:00,7
2000-01-25 00:00:00,7.5
2000-01-26 00:00:00,8.571428571
2000-01-27 00:00:00,8.095238095
2000-01-28 00:00:00,10
2000-01-31 00:00:00,11.38888889
2000-02-01 00:00:00,12.35294118
2000-02-02 00:00:00,12.5
2000-02-03 00:00:00,14
2000-02-04 00:00:00,14.47368421
2000-02-07 00:00:00,17.14285714
2000-02-08 00:00:00,18.15789474
2000-02-09 00:00:00,18.23529412
2000-02-10 00:00:00,14.09090909
2000-02-14 00:00:00,15.35714286
2000-02-15 00:00:00,16.47058824
2000-02-16 00:00:00,16.75
2000-02-17 00:00:00,17.5
2000-02-18 00:00:00,16.76470588
2000-02-21 00:00:00,11.94444444
2000-02-22 00:00:00,12
2000-02-23 00:00:00,10.35714286
2000-02-24 00:00:00,11.25
2000-02-25 00:00:00,12.5
2000-02-28 00:00:00,13
2000-02-29 00:00:00,13
2000-03-01 00:00:00,15
2000-03-02 00:00:00,15.66666667
2000-03-03 00:00:00,17.1875
2000-03-06 00:00:00,18.33333333
2000-03-07 00:00:00,19.21052632
2000-03-08 00:00:00,19.47368421
2000-03-09 00:00:00,17.77777778
2000-03-10 00:00:00,19.16666667
2000-03-13 00:00:00,20
2000-03-14 00:00:00,22.35294118
2000-03-15 00:00:00,23.84615385
2000-03-16 00:00:00,25
2000-03-17 00:00:00,20.76923077
2000-03-21 00:00:00,16.38888889
2000-03-22 00:00:00,12.5
2000-03-23 00:00:00,10.66666667
2000-03-24 00:00:00,8.75
2000-03-27 00:00:00,8.571428571
2000-03-28 00:00:00,8.928571429
2000-03-29 00:00:00,5.757575758
2000-03-30 00:00:00,8
2000-03-31 00:00:00,8.947368421
2000-04-03 00:00:00,10.45454545
2000-04-04 00:00:00,9.565217391
2000-04-05 00:00:00,7.857142857
2000-04-06 00:00:00,6.842105263
2000-04-07 00:00:00,10.4
2000-04-10 00:00:00,11.2962963
2000-04-11 00:00:00,7.333333333
2000-04-12 00:00:00,9.117647059
2000-04-13 00:00:00,9.25
2000-04-14 00:00:00,11.38888889
2000-04-17 00:00:00,10.88235294
2000-04-18 00:00:00,12.5
2000-04-19 00:00:00,12.82608696
2000-04-20 00:00:00,11.4
2000-04-21 00:00:00,9
2000-04-24 00:00:00,10
2000-04-25 00:00:00,11.76470588
2000-04-26 00:00:00,11.81818182
2000-04-27 00:00:00,9.615384615
2000-04-28 00:00:00,12.36842105
2000-05-01 00:00:00,15.26315789
2000-05-02 00:00:00,15.52631579
2000-05-08 00:00:00,15.8
2000-05-09 00:00:00,16.52173913
2000-05-10 00:00:00,17.5
2000-05-11 00:00:00,18.5
2000-05-12 00:00:00,19
2000-05-15 00:00:00,16.47058824
2000-05-16 00:00:00,16.25
2000-05-17 00:00:00,16.17647059
2000-05-18 00:00:00,16.5
2000-05-19 00:00:00,13.07692308
2000-05-22 00:00:00,13.92857143
2000-05-23 00:00:00,15
2000-05-24 00:00:00,20
2000-05-25 00:00:00,16.59090909
2000-05-26 00:00:00,18.33333333
2000-05-29 00:00:00,20.66666667
2000-05-30 00:00:00,21.53846154
2000-05-31 00:00:00,23.33333333
2000-06-01 00:00:00,26.875
2000-06-02 00:00:00,27.1875
2000-06-05 00:00:00,23.4
2000-06-07 00:00:00,22.85714286
2000-06-08 00:00:00,23.05555556
2000-06-09 00:00:00,22.35294118
2000-06-10 00:00:00,25.58823529
2000-06-12 00:00:00,26.57894737
2000-06-13 00:00:00,27.10526316
2000-06-14 00:00:00,26.36363636
2000-06-15 00:00:00,27.14285714
2000-06-16 00:00:00,26.66666667
2000-06-19 00:00:00,27.67857143
2000-06-20 00:00:00,27.66666667
2000-06-21 00:00:00,27.43589744
